,CustomerID,ItemID,Sex,Age,Profession,CityType,YearsInCity,Married,ItemCategory1,ItemCategory2,ItemCategory3,Amount
54708,1002354,P00090842,M,36-45,11,B,3,0.0,11,15.0,,4617
54837,1002387,P00289942,M,26-35,17,C,4+,0.0,3,4.0,5.0,8255
54838,1002387,P00053842,M,26-35,17,C,4+,0.0,4,5.0,12.0,2763
55229,1002468,P00051442,M,51-55,1,A,4+,0.0,8,17.0,,9769
55230,1002468,P00270942,M,51-55,1,A,4+,0.0,1,2.0,15.0,19088
55231,1002468,P00052642,M,51-55,1,A,4+,0.0,5,14.0,,8610
55232,1002468,P00027542,M,51-55,1,A,4+,0.0,8,,,6127
55233,1002468,P00115142,M,51-55,1,A,4+,0.0,1,8.0,17.0,18960
55234,1002468,P00120342,M,51-55,1,A,4+,0.0,5,17.0,,7169
55235,1002468,P00195742,M,51-55,1,A,4+,0.0,3,4.0,,8328
55236,1002468,P00100442,M,51-55,1,A,4+,0.0,2,4.0,5.0,9556
55659,1002550,P00112142,M,51-55,7,C,2,1.0,1,2.0,14.0,19539
55660,1002550,P00111242,M,51-55,7,C,2,1.0,1,18.0,,15595
55661,1002550,P00101342,M,51-55,7,C,2,1.0,6,8.0,,12481
55662,1002550,P00085442,M,51-55,7,C,2,1.0,12,14.0,,1075
55663,1002550,P00153842,M,51-55,7,C,2,1.0,8,14.0,16.0,10079
55664,1002550,P00121342,M,51-55,7,C,2,1.0,1,5.0,18.0,12030
55945,1002620,P00133442,M,18-25,4,C,4+,0.0,1,16.0,,15820
55946,1002620,P00042142,M,18-25,4,C,4+,0.0,1,2.0,6.0,15791
55947,1002620,P00169742,M,18-25,4,C,4+,0.0,1,8.0,15.0,19063
55948,1002620,P00214242,M,18-25,4,C,4+,0.0,1,16.0,,15873
55949,1002620,P00147942,M,18-25,4,C,4+,0.0,1,16.0,,19070
55950,1002620,P00178242,M,18-25,4,C,4+,0.0,8,,,7928
55951,1002620,P00118142,M,18-25,4,C,4+,0.0,8,17.0,,7967
55988,1002625,P00217442,M,36-45,7,C,3,0.0,1,2.0,11.0,15560
55989,1002625,P00006942,M,36-45,7,C,3,0.0,1,5.0,6.0,19494
55990,1002625,P00184942,M,36-45,7,C,3,0.0,1,8.0,17.0,19705
55991,1002625,P00101942,M,36-45,7,C,3,0.0,8,17.0,,9796
55992,1002625,P00359242,M,36-45,7,C,3,0.0,1,5.0,17.0,11504
55993,1002625,P00313942,M,36-45,7,C,3,0.0,17,,,10589
55994,1002625,P00193842,M,36-45,7,C,3,0.0,11,16.0,,4515
55995,1002625,P00122442,M,36-45,7,C,3,0.0,1,11.0,15.0,15529
55996,1002625,P00231942,M,36-45,7,C,3,0.0,11,,,4693
55997,1002625,P00105242,M,36-45,7,C,3,0.0,11,,,5927
56377,1002692,P00037142,F,18-25,4,C,0,1.0,1,2.0,5.0,15285
56378,1002692,P00015842,F,18-25,4,C,0,1.0,1,14.0,16.0,15913
56379,1002692,P00067142,F,18-25,4,C,0,1.0,5,,,3633
56380,1002692,P00049542,F,18-25,4,C,0,1.0,8,,,7795
56391,1002694,P00046742,M,18-25,4,B,3,0.0,1,2.0,15.0,19155
56404,1002700,P00146742,M,26-35,7,C,2,1.0,1,13.0,14.0,15699
56405,1002700,P00222242,M,26-35,7,C,2,1.0,1,2.0,13.0,19706
56406,1002700,P00057642,M,26-35,7,C,2,1.0,1,15.0,16.0,7836
56407,1002700,P00026442,M,26-35,7,C,2,1.0,8,14.0,,7926
56408,1002700,P00030642,M,26-35,7,C,2,1.0,8,,,9792
56409,1002700,P00210042,M,26-35,7,C,2,1.0,8,14.0,,6115
56410,1002700,P00293342,M,26-35,7,C,2,1.0,8,,,5915
56411,1002700,P00224742,M,26-35,7,C,2,1.0,8,,,7956
56412,1002700,P00075442,M,26-35,7,C,2,1.0,5,11.0,,8780
56413,1002700,P00303642,M,26-35,7,C,2,1.0,8,14.0,,7966
56414,1002700,P00029542,M,26-35,7,C,2,1.0,1,2.0,18.0,7977
56415,1002700,P00317942,M,26-35,7,C,2,1.0,8,16.0,,6176
56416,1002700,P00351042,M,26-35,7,C,2,1.0,5,,,5151
56538,1002739,P00251842,F,36-45,7,C,1,0.0,1,15.0,16.0,12005
56539,1002739,P00173242,F,36-45,7,C,1,0.0,5,,,5196
56960,1002800,P00006142,F,18-25,4,C,1,1.0,8,,,5984
56961,1002800,P00034942,F,18-25,4,C,1,1.0,8,,,3928
56962,1002800,P00035842,F,18-25,4,C,1,1.0,5,6.0,9.0,1854
57043,1002814,P00010742,M,36-45,7,B,1,0.0,1,8.0,17.0,19640
57044,1002814,P00155142,M,36-45,7,B,1,0.0,1,16.0,,19145
57045,1002814,P00154642,M,36-45,7,B,1,0.0,8,,,7875
57046,1002814,P00165642,M,36-45,7,B,1,0.0,1,8.0,16.0,19651
57047,1002814,P00052642,M,36-45,7,B,1,0.0,5,14.0,,7067
57048,1002814,P0098342,M,36-45,7,B,1,0.0,1,2.0,,19120
57049,1002814,P00230442,M,36-45,7,B,1,0.0,14,,,10977
57558,1002894,P00113142,M,18-25,4,B,4+,0.0,1,5.0,12.0,15678
57559,1002894,P00120042,M,18-25,4,B,4+,0.0,1,2.0,,19523
57560,1002894,P00032042,M,18-25,4,B,4+,0.0,1,2.0,15.0,11905
57561,1002894,P00244042,M,18-25,4,B,4+,0.0,1,2.0,15.0,19173
57562,1002894,P00042942,M,18-25,4,B,4+,0.0,1,15.0,,19290
57806,1002918,P00028842,M,26-35,12,B,2,1.0,6,8.0,,20179
57807,1002918,P00109742,M,26-35,12,B,2,1.0,8,,,7834
57808,1002918,P00113942,M,26-35,12,B,2,1.0,8,,,7761
57809,1002918,P00280742,M,26-35,12,B,2,1.0,6,8.0,,20194
57810,1002918,P00212242,M,26-35,12,B,2,1.0,8,,,9711
57811,1002918,P00171842,M,26-35,12,B,2,1.0,8,14.0,,6134
57812,1002918,P00106042,M,26-35,12,B,2,1.0,5,,,8693
57813,1002918,P00134342,M,26-35,12,B,2,1.0,5,,,8595
57814,1002918,P00042842,M,26-35,12,B,2,1.0,5,,,6893
57815,1002918,P00021742,M,26-35,12,B,2,1.0,5,,,8780
57816,1002918,P00124642,M,26-35,12,B,2,1.0,16,,,12508
57817,1002918,P00199342,M,26-35,12,B,2,1.0,2,9.0,15.0,13155
57818,1002918,P00010942,M,26-35,12,B,2,1.0,1,2.0,6.0,19649
57819,1002918,P00294542,M,26-35,12,B,2,1.0,8,,,7858
57820,1002918,P00102342,M,26-35,12,B,2,1.0,8,14.0,17.0,7875
57821,1002918,P00008742,M,26-35,12,B,2,1.0,5,,,5199
57822,1002918,P00016042,M,26-35,12,B,2,1.0,1,16.0,,11445
57823,1002918,P00256842,M,26-35,12,B,2,1.0,5,,,5204
57824,1002918,P00105142,M,26-35,12,B,2,1.0,1,2.0,15.0,11725
57894,1002930,P00113242,M,51-55,17,C,1,1.0,1,6.0,8.0,15808
57895,1002930,P00028242,M,51-55,17,C,1,1.0,6,8.0,,20165
58215,1002994,P00017142,M,36-45,5,A,1,1.0,5,,,7046
58216,1002994,P00254242,M,36-45,5,A,1,1.0,5,11.0,12.0,5275
58217,1002994,P00234542,M,36-45,5,A,1,1.0,5,,,7079
58218,1002994,P00010742,M,36-45,5,A,1,1.0,1,8.0,17.0,11689
58219,1002994,P00182142,M,36-45,5,A,1,1.0,1,5.0,6.0,11609
58220,1002994,P00046142,M,36-45,5,A,1,1.0,1,16.0,,15516
58221,1002994,P00339942,M,36-45,5,A,1,1.0,1,,,11678
58222,1002994,P00127842,M,36-45,5,A,1,1.0,1,2.0,15.0,8147
58223,1002994,P00127742,M,36-45,5,A,1,1.0,1,2.0,15.0,7724
58224,1002994,P00208342,M,36-45,5,A,1,1.0,1,16.0,,15674
58225,1002994,P00028442,M,36-45,5,A,1,1.0,1,8.0,16.0,11772
58226,1002994,P00241642,M,36-45,5,A,1,1.0,1,2.0,11.0,11649
58227,1002994,P00029542,M,36-45,5,A,1,1.0,1,2.0,18.0,11790
58228,1002994,P00136742,M,36-45,5,A,1,1.0,1,14.0,16.0,7651
58229,1002994,P00320142,M,36-45,5,A,1,1.0,1,8.0,,8256
58230,1002994,P00138242,M,36-45,5,A,1,1.0,1,,,7969
58626,1003051,P00322142,M,18-25,17,B,0,1.0,1,14.0,,12042
58627,1003051,P00368242,M,18-25,17,B,0,1.0,5,11.0,,5468
58628,1003051,P00220442,M,18-25,17,B,0,1.0,5,14.0,,7033
58629,1003051,P00144642,M,18-25,17,B,0,1.0,1,15.0,16.0,15739
58630,1003051,P00023142,M,18-25,17,B,0,1.0,5,14.0,,8870
58631,1003051,P00146742,M,18-25,17,B,0,1.0,1,13.0,14.0,19419
58632,1003051,P00279342,M,18-25,17,B,0,1.0,5,14.0,,5297
58633,1003051,P00229342,M,18-25,17,B,0,1.0,5,14.0,,3690
58634,1003051,P00127242,M,18-25,17,B,0,1.0,1,16.0,,15840
58635,1003051,P00303042,M,18-25,17,B,0,1.0,5,,,6958
58636,1003051,P00134942,M,18-25,17,B,0,1.0,5,14.0,,6904
58637,1003051,P00173842,M,18-25,17,B,0,1.0,1,2.0,15.0,8032
58638,1003051,P00150942,M,18-25,17,B,0,1.0,6,11.0,13.0,8201
58639,1003051,P00170642,M,18-25,17,B,0,1.0,5,8.0,,5371
58640,1003051,P00190042,M,18-25,17,B,0,1.0,3,4.0,5.0,10815
58641,1003051,P00024942,M,18-25,17,B,0,1.0,5,,,5225
58642,1003051,P00306142,M,18-25,17,B,0,1.0,5,,,5440
58713,1003060,P00148442,F,36-45,1,C,3,0.0,2,16.0,,12807
58785,1003072,P00254642,M,51-55,1,B,4+,0.0,5,8.0,,5188
58786,1003072,P00187442,M,51-55,1,B,4+,0.0,2,4.0,5.0,3399
58787,1003072,P00060142,M,51-55,1,B,4+,0.0,8,,,7915
58788,1003072,P00177642,M,51-55,1,B,4+,0.0,8,,,5981
58789,1003072,P00022742,M,51-55,1,B,4+,0.0,8,,,8097
58790,1003072,P00178042,M,51-55,1,B,4+,0.0,8,14.0,,8095
58791,1003072,P00008142,M,51-55,1,B,4+,0.0,8,,,7995
58792,1003072,P00104542,M,51-55,1,B,4+,0.0,8,,,8133
58793,1003072,P00047642,M,51-55,1,B,4+,0.0,5,,,5409
58794,1003072,P00205442,M,51-55,1,B,4+,0.0,5,8.0,14.0,5275
58971,1003108,P00127642,M,51-55,6,B,1,1.0,1,2.0,15.0,11415
58972,1003108,P00046742,M,51-55,6,B,1,1.0,1,2.0,15.0,12056
58973,1003108,P00118542,M,51-55,6,B,1,1.0,5,8.0,,6947
58974,1003108,P00113042,M,51-55,6,B,1,1.0,11,16.0,,6056
58975,1003108,P00313742,M,51-55,6,B,1,1.0,18,,,3121
58976,1003108,P00331842,M,51-55,6,B,1,1.0,16,,,16394
58977,1003108,P00293242,M,51-55,6,B,1,1.0,8,16.0,,7794
58978,1003108,P00115442,M,51-55,6,B,1,1.0,8,,,9791
58979,1003108,P00128942,M,51-55,6,B,1,1.0,1,11.0,,11433
58980,1003108,P00120542,M,51-55,6,B,1,1.0,8,14.0,,7847
58981,1003108,P00029842,M,51-55,6,B,1,1.0,8,,,10036
58982,1003108,P00126542,M,51-55,6,B,1,1.0,8,,,8139
58983,1003108,P00297942,M,51-55,6,B,1,1.0,8,,,7828
58984,1003108,P00154642,M,51-55,6,B,1,1.0,8,,,5885
58985,1003108,P00223542,M,51-55,6,B,1,1.0,1,8.0,17.0,12030
58986,1003108,P00177942,M,51-55,6,B,1,1.0,5,8.0,,5373
58987,1003108,P00111242,M,51-55,6,B,1,1.0,1,18.0,,19323
58988,1003108,P00315442,M,51-55,6,B,1,1.0,1,,,15457
58989,1003108,P00329742,M,51-55,6,B,1,1.0,6,16.0,,16313
58990,1003108,P00236642,M,51-55,6,B,1,1.0,6,16.0,,12188
59386,1003184,P00127042,F,26-35,18,C,2,0.0,4,5.0,,2071
59387,1003184,P00194442,F,26-35,18,C,2,0.0,5,,,1765
59388,1003184,P00122542,F,26-35,18,C,2,0.0,11,,,4682
59389,1003184,P00108942,F,26-35,18,C,2,0.0,8,,,9962
59834,1003265,P00182242,M,26-35,15,A,1,1.0,1,5.0,6.0,15189
59835,1003265,P00034842,M,26-35,15,A,1,1.0,5,14.0,,6921
59836,1003265,P00187842,M,26-35,15,A,1,1.0,1,16.0,,11407
59837,1003265,P00214242,M,26-35,15,A,1,1.0,1,16.0,,4138
59838,1003265,P00030842,M,26-35,15,A,1,1.0,1,2.0,15.0,8035
59839,1003265,P00037042,M,26-35,15,A,1,1.0,1,15.0,,11646
59840,1003265,P00165442,M,26-35,15,A,1,1.0,1,15.0,16.0,8034
59841,1003265,P00020342,M,26-35,15,A,1,1.0,1,2.0,,11745
59842,1003265,P00329542,M,26-35,15,A,1,1.0,1,15.0,16.0,15764
59843,1003265,P00345742,M,26-35,15,A,1,1.0,1,2.0,15.0,11778
59844,1003265,P00321342,M,26-35,15,A,1,1.0,1,,,7898
59845,1003265,P00004742,M,26-35,15,A,1,1.0,6,16.0,,16162
59846,1003265,P00278642,M,26-35,15,A,1,1.0,5,,,5405
59847,1003265,P00174242,M,26-35,15,A,1,1.0,15,16.0,,8892
59848,1003265,P00042242,M,26-35,15,A,1,1.0,5,15.0,,1900
59849,1003265,P00170342,M,26-35,15,A,1,1.0,1,15.0,,11558
59850,1003265,P00031042,M,26-35,15,A,1,1.0,8,,,9721
59851,1003265,P00179542,M,26-35,15,A,1,1.0,11,,,3237
59852,1003265,P00026742,M,26-35,15,A,1,1.0,8,11.0,,5877
59853,1003265,P00266142,M,26-35,15,A,1,1.0,5,11.0,,3435
59854,1003265,P00231942,M,26-35,15,A,1,1.0,11,,,2949
59855,1003265,P00269642,M,26-35,15,A,1,1.0,11,16.0,,4627
59856,1003265,P00035842,M,26-35,15,A,1,1.0,5,6.0,9.0,3677
59857,1003265,P00178642,M,26-35,15,A,1,1.0,5,15.0,,2016
59858,1003265,P00352842,M,26-35,15,A,1,1.0,2,6.0,15.0,9613
59859,1003265,P00151242,M,26-35,15,A,1,1.0,5,8.0,16.0,5391
59860,1003265,P00227842,M,26-35,15,A,1,1.0,2,5.0,,9715
59861,1003265,P00116142,M,26-35,15,A,1,1.0,10,13.0,16.0,9354
59884,1003272,P00085242,M,36-45,0,B,1,1.0,8,14.0,17.0,7876
59885,1003272,P00246342,M,36-45,0,B,1,1.0,11,15.0,,6180
59886,1003272,P00351842,M,36-45,0,B,1,1.0,5,,,5171
59887,1003272,P00115142,M,36-45,0,B,1,1.0,1,8.0,17.0,19705
59888,1003272,P00086442,M,36-45,0,B,1,1.0,8,13.0,15.0,6203
59889,1003272,P00190042,M,36-45,0,B,1,1.0,3,4.0,5.0,10555
59890,1003272,P00336942,M,36-45,0,B,1,1.0,5,,,5464
59891,1003272,P00201442,M,36-45,0,B,1,1.0,1,6.0,8.0,11736
59892,1003272,P00233542,M,36-45,0,B,1,1.0,1,15.0,,15261
59893,1003272,P00271142,M,36-45,0,B,1,1.0,5,,,6887
59894,1003272,P00154642,M,36-45,0,B,1,1.0,8,,,7887
59895,1003272,P00297942,M,36-45,0,B,1,1.0,8,,,7866
59896,1003272,P00054042,M,36-45,0,B,1,1.0,18,,,3064
59897,1003272,P00046742,M,36-45,0,B,1,1.0,1,2.0,15.0,19506
59898,1003272,P00288642,M,36-45,0,B,1,1.0,16,,,16769
59899,1003272,P00221542,M,36-45,0,B,1,1.0,5,15.0,,7006
59900,1003272,P00186642,M,36-45,0,B,1,1.0,2,4.0,15.0,12769
59901,1003272,P00152542,M,36-45,0,B,1,1.0,16,,,16286
59902,1003272,P00110742,M,36-45,0,B,1,1.0,1,2.0,8.0,19399
59903,1003272,P00217442,M,36-45,0,B,1,1.0,1,2.0,11.0,15789
59904,1003272,P00061142,M,36-45,0,B,1,1.0,8,16.0,,7883
59905,1003272,P00178942,M,36-45,0,B,1,1.0,5,8.0,,5454
59906,1003272,P0096742,M,36-45,0,B,1,1.0,2,4.0,12.0,13175
59907,1003272,P00154242,M,36-45,0,B,1,1.0,8,,,5889
59908,1003272,P00299142,M,36-45,0,B,1,1.0,5,,,5386
59909,1003272,P00118742,M,36-45,0,B,1,1.0,5,11.0,,6880
59910,1003272,P00349442,M,36-45,0,B,1,1.0,6,8.0,,16587
59911,1003272,P00156742,M,36-45,0,B,1,1.0,5,6.0,8.0,5252
59912,1003272,P00043842,M,36-45,0,B,1,1.0,8,13.0,14.0,6027
59913,1003272,P00162942,M,36-45,0,B,1,1.0,7,,,12771
59914,1003272,P00173242,M,36-45,0,B,1,1.0,5,,,7021
59915,1003272,P00045542,M,36-45,0,B,1,1.0,5,14.0,,5183
59916,1003272,P00044542,M,36-45,0,B,1,1.0,8,18.0,,7801
59917,1003272,P00183042,M,36-45,0,B,1,1.0,15,16.0,,12579
59918,1003272,P00184242,M,36-45,0,B,1,1.0,9,15.0,,14088
59919,1003272,P00150742,M,36-45,0,B,1,1.0,8,14.0,,5941
59920,1003272,P00259842,M,36-45,0,B,1,1.0,1,14.0,16.0,12072
59921,1003272,P00233642,M,36-45,0,B,1,1.0,1,15.0,,12087
59922,1003272,P00037042,M,36-45,0,B,1,1.0,1,15.0,,11442
59923,1003272,P00346642,M,36-45,0,B,1,1.0,8,,,6049
59924,1003272,P00152942,M,36-45,0,B,1,1.0,5,,,6900
60475,1003348,P00302142,M,46-50,16,C,4+,1.0,5,14.0,,7078
60476,1003348,P00083342,M,46-50,16,C,4+,1.0,5,8.0,14.0,7054
60576,1003367,P00286142,M,51-55,16,A,1,0.0,16,,,20488
60577,1003367,P00120942,M,51-55,16,A,1,0.0,8,,,8127
60578,1003367,P00295942,M,51-55,16,A,1,0.0,2,5.0,15.0,12909
60579,1003367,P00033142,M,51-55,16,A,1,0.0,2,8.0,,12750
60580,1003367,P00040842,M,51-55,16,A,1,0.0,2,4.0,,16382
60581,1003367,P00053642,M,51-55,16,A,1,0.0,7,,,21070
60582,1003367,P00177442,M,51-55,16,A,1,0.0,1,6.0,8.0,15894
60583,1003367,P00362742,M,51-55,16,A,1,0.0,8,,,7977
60584,1003367,P00014942,M,51-55,16,A,1,0.0,8,,,8045
60585,1003367,P00354642,M,51-55,16,A,1,0.0,8,13.0,,10040
60586,1003367,P00343442,M,51-55,16,A,1,0.0,12,,,1373
60587,1003367,P00158742,M,51-55,16,A,1,0.0,5,8.0,,8770
60588,1003367,P00219942,M,51-55,16,A,1,0.0,6,16.0,,16201
60589,1003367,P00364942,M,51-55,16,A,1,0.0,8,,,7992
60590,1003367,P00240842,M,51-55,16,A,1,0.0,8,,,9752
60591,1003367,P00155742,M,51-55,16,A,1,0.0,8,,,5899
60592,1003367,P00321742,M,51-55,16,A,1,0.0,5,8.0,17.0,7145
60865,1003407,P00317442,F,46-50,5,C,1,1.0,1,8.0,,8000
60868,1003409,P00061142,M,26-35,4,C,4+,1.0,8,16.0,,9950
60869,1003409,P00078142,M,26-35,4,C,4+,1.0,8,16.0,,10052
61148,1003444,P00115342,M,51-55,14,C,1,1.0,5,8.0,14.0,8767
61149,1003444,P00217742,M,51-55,14,C,1,1.0,5,14.0,,1747
61275,1003466,P00324542,M,26-35,14,B,1,1.0,5,8.0,,7107
61276,1003466,P00113242,M,26-35,14,B,1,1.0,1,6.0,8.0,19323
61749,1003521,P00209142,M,26-35,0,B,3,0.0,5,8.0,,3459
61750,1003521,P00000142,M,26-35,0,B,3,0.0,3,4.0,5.0,13487
61751,1003521,P00154242,M,26-35,0,B,3,0.0,8,,,6115
61752,1003521,P00212942,M,26-35,0,B,3,0.0,5,,,8660
61753,1003521,P00085342,M,26-35,0,B,3,0.0,10,13.0,,23289
61754,1003521,P00083842,M,26-35,0,B,3,0.0,5,14.0,,6896
61755,1003521,P00245342,M,26-35,0,B,3,0.0,11,,,6100
61756,1003521,P00114742,M,26-35,0,B,3,0.0,8,,,7763
61757,1003521,P0096842,M,26-35,0,B,3,0.0,3,4.0,12.0,10809
61758,1003521,P00246642,M,26-35,0,B,3,0.0,15,,,8460
61759,1003521,P00200142,M,26-35,0,B,3,0.0,16,,,12901
61760,1003521,P00295342,M,26-35,0,B,3,0.0,2,8.0,,3510
61761,1003521,P00327642,M,26-35,0,B,3,0.0,18,,,3112
61762,1003521,P00119842,M,26-35,0,B,3,0.0,7,17.0,,20450
61763,1003521,P00336942,M,26-35,0,B,3,0.0,5,,,7046
61764,1003521,P00266142,M,26-35,0,B,3,0.0,5,11.0,,7096
61765,1003521,P00277942,M,26-35,0,B,3,0.0,1,,,15879
61766,1003521,P00101742,M,26-35,0,B,3,0.0,12,14.0,,1027
61767,1003521,P00319142,M,26-35,0,B,3,0.0,5,14.0,,5333
61768,1003521,P00274342,M,26-35,0,B,3,0.0,2,8.0,14.0,6559
61769,1003521,P00128342,M,26-35,0,B,3,0.0,5,12.0,14.0,1851
61938,1003550,P00323942,M,26-35,5,B,0,1.0,8,15.0,,8123
61939,1003550,P00334242,M,26-35,5,B,0,1.0,1,8.0,,15569
61940,1003550,P00119642,M,26-35,5,B,0,1.0,1,2.0,8.0,11538
61941,1003550,P00136542,M,26-35,5,B,0,1.0,5,8.0,,5334
61942,1003550,P00054242,M,26-35,5,B,0,1.0,1,6.0,14.0,15438
61943,1003550,P00280842,M,26-35,5,B,0,1.0,1,8.0,,11399
61944,1003550,P00221142,M,26-35,5,B,0,1.0,1,,,11562
61945,1003550,P00146042,M,26-35,5,B,0,1.0,1,13.0,15.0,11877
61946,1003550,P00225842,M,26-35,5,B,0,1.0,2,4.0,15.0,9670
61947,1003550,P00174242,M,26-35,5,B,0,1.0,15,16.0,,16921
61948,1003550,P00303042,M,26-35,5,B,0,1.0,5,,,6927
61949,1003550,P00157542,M,26-35,5,B,0,1.0,8,14.0,,7942
62060,1003567,P00080342,M,26-35,14,C,1,1.0,1,6.0,8.0,19634
62061,1003567,P00116842,M,26-35,14,C,1,1.0,2,5.0,8.0,12939
62238,1003591,P00084842,M,36-45,6,C,1,0.0,8,16.0,,7938
62239,1003591,P00309142,M,36-45,6,C,1,0.0,1,16.0,,12073
62240,1003591,P00156442,M,36-45,6,C,1,0.0,8,,,8099
62241,1003591,P00117542,M,36-45,6,C,1,0.0,18,,,2398
62242,1003591,P00015542,M,36-45,6,C,1,0.0,1,2.0,13.0,7881
62243,1003591,P00113642,M,36-45,6,C,1,0.0,8,,,7810
62421,1003618,P00153142,M,55+,17,A,4+,0.0,1,8.0,,12032
62422,1003618,P00256642,M,55+,17,A,4+,0.0,5,,,5227
62423,1003618,P00248542,M,55+,17,A,4+,0.0,8,16.0,,8063
62424,1003618,P00248342,M,55+,17,A,4+,0.0,8,13.0,,6020
62425,1003618,P00260242,M,55+,17,A,4+,0.0,5,16.0,,5378
62426,1003618,P00058042,M,55+,17,A,4+,0.0,8,16.0,,9811
62427,1003618,P00008842,M,55+,17,A,4+,0.0,1,16.0,,11899
62428,1003618,P00286742,M,55+,17,A,4+,0.0,1,16.0,,11788
62429,1003618,P00312842,M,55+,17,A,4+,0.0,16,,,8189
62430,1003618,P0094042,M,55+,17,A,4+,0.0,1,16.0,,11539
62431,1003618,P00362642,M,55+,17,A,4+,0.0,8,18.0,,6003
62432,1003618,P00176042,M,55+,17,A,4+,0.0,8,17.0,,5923
62433,1003618,P00313542,M,55+,17,A,4+,0.0,5,8.0,,6908
62434,1003618,P00155742,M,55+,17,A,4+,0.0,8,,,6132
62435,1003618,P00083942,M,55+,17,A,4+,0.0,12,14.0,,1741
62436,1003618,P00054242,M,55+,17,A,4+,0.0,1,6.0,14.0,11905
62437,1003618,P00230342,M,55+,17,A,4+,0.0,5,14.0,,5304
62438,1003618,P00026042,M,55+,17,A,4+,0.0,8,14.0,17.0,5835
62439,1003618,P00046742,M,55+,17,A,4+,0.0,1,2.0,15.0,15604
62440,1003618,P00346142,M,55+,17,A,4+,0.0,1,15.0,,7820
62441,1003618,P00112642,M,55+,17,A,4+,0.0,1,2.0,5.0,8008
62442,1003618,P00233442,M,55+,17,A,4+,0.0,1,2.0,15.0,11515
62443,1003618,P00297842,M,55+,17,A,4+,0.0,1,,,11401
62444,1003618,P00103042,M,55+,17,A,4+,0.0,1,14.0,,11903
62445,1003618,P00280842,M,55+,17,A,4+,0.0,1,8.0,,11585
62446,1003618,P00253142,M,55+,17,A,4+,0.0,1,2.0,5.0,7794
62447,1003618,P00059442,M,55+,17,A,4+,0.0,6,8.0,16.0,16671
62448,1003618,P00035842,M,55+,17,A,4+,0.0,5,6.0,9.0,5435
62449,1003618,P00051942,M,55+,17,A,4+,0.0,5,6.0,11.0,3750
62450,1003618,P00111842,M,55+,17,A,4+,0.0,8,,,7985
62451,1003618,P00135642,M,55+,17,A,4+,0.0,8,,,6101
62452,1003618,P00073642,M,55+,17,A,4+,0.0,8,,,5908
62453,1003618,P00052142,M,55+,17,A,4+,0.0,8,14.0,,5880
62454,1003618,P00105542,M,55+,17,A,4+,0.0,8,,,5863
62455,1003618,P00252742,M,55+,17,A,4+,0.0,8,,,6149
62456,1003618,P00188942,M,55+,17,A,4+,0.0,8,,,5959
62457,1003618,P00242042,M,55+,17,A,4+,0.0,8,14.0,,5922
62458,1003618,P00253442,M,55+,17,A,4+,0.0,5,8.0,,5148
62459,1003618,P00302942,M,55+,17,A,4+,0.0,8,,,8039
62460,1003618,P00118842,M,55+,17,A,4+,0.0,5,8.0,,3721
62461,1003618,P0096342,M,55+,17,A,4+,0.0,8,,,6091
62462,1003618,P00297042,M,55+,17,A,4+,0.0,8,,,5918
62463,1003618,P00334842,M,55+,17,A,4+,0.0,8,,,4064
62464,1003618,P00000442,M,55+,17,A,4+,0.0,5,8.0,,3645
62465,1003618,P00274342,M,55+,17,A,4+,0.0,2,8.0,14.0,6764
62466,1003618,P00276742,M,55+,17,A,4+,0.0,5,8.0,,3492
62467,1003618,P00265942,M,55+,17,A,4+,0.0,5,,,5141
62468,1003618,P00141542,M,55+,17,A,4+,0.0,5,,,5481
62469,1003618,P00084942,M,55+,17,A,4+,0.0,5,8.0,,5326
62470,1003618,P00199442,M,55+,17,A,4+,0.0,5,9.0,,5354
62471,1003618,P00075442,M,55+,17,A,4+,0.0,5,11.0,,5310
62472,1003618,P00055242,M,55+,17,A,4+,0.0,11,,,3191
62473,1003618,P00250242,M,55+,17,A,4+,0.0,5,,,3492
62474,1003618,P00280442,M,55+,17,A,4+,0.0,11,,,4497
62475,1003618,P00237842,M,55+,17,A,4+,0.0,5,,,5363
62476,1003618,P00344142,M,55+,17,A,4+,0.0,18,,,2334
62477,1003618,P00151342,M,55+,17,A,4+,0.0,7,,,8340
62579,1003632,P00217742,M,51-55,11,C,4+,0.0,5,14.0,,5192
62580,1003632,P00240442,M,51-55,11,C,4+,0.0,6,16.0,,16484
63186,1003709,P00112142,M,26-35,12,C,3,1.0,1,2.0,14.0,19007
63187,1003709,P00302942,M,26-35,12,C,3,1.0,8,,,9791
63188,1003709,P00018842,M,26-35,12,C,3,1.0,8,,,2046
63189,1003709,P00041742,M,26-35,12,C,3,1.0,8,,,2241
63190,1003709,P00150542,M,26-35,12,C,3,1.0,5,,,5472
63191,1003709,P00247042,M,26-35,12,C,3,1.0,5,14.0,,5272
63192,1003709,P00020042,M,26-35,12,C,3,1.0,5,8.0,,7091
63193,1003709,P00011842,M,26-35,12,C,3,1.0,5,14.0,,5148
63194,1003709,P00156542,M,26-35,12,C,3,1.0,4,5.0,,707
63195,1003709,P00252042,M,26-35,12,C,3,1.0,5,14.0,,5458
63196,1003709,P00178942,M,26-35,12,C,3,1.0,5,8.0,,8845
63197,1003709,P00227842,M,26-35,12,C,3,1.0,2,5.0,,9598
63198,1003709,P00218742,M,26-35,12,C,3,1.0,5,,,5423
63199,1003709,P00280542,M,26-35,12,C,3,1.0,11,,,4607
